pool_hash,pool_id,operator_group,source,source_detail
4594f67c08f0007d1fac243169624b710375cb834bbe81f6b4d79f32,pool1gk20vlqg7qq868avysckjcjtwyphtjurfwlgra45670ny6r4fww,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=GCN; balanceanalytics_group=COINBASE; adastat_group=None
483b0d11a79c52d088f93e8a0930999c1bb17f2b04b26c7167d9bb0e,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=LAG; balanceanalytics_group=COINBASE; adastat_group=None
4987d8a81c1e79f600771b4331fe84ce2f700f2855ae345d915dbf51,pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
4fd4f6b6c164e0bf9b514f7facc6dcae87ed4eca857605da92990d35,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=KOH; balanceanalytics_group=COINBASE; adastat_group=None
56fc2287d2013661b181d0bccda5bcd4b5cd12b10bf7a254ddf8ab18,pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
5cfc3c3314ffe6748ff3a4ca34b4b841ed81caacfee24c341c21a905,pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
661d04fdb7aa2c2476bbc6827d11ec22ec04ecb953495ade0f7b2352,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=FVG; balanceanalytics_group=COINBASE; adastat_group=None
6804118fe78be9bf9213b9e829803952be87814d28b305fa52bf11d9,pool1dqzprrl8305mlysnh85znqpe22lg0q2d9zest7jjhugajuf46kv,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=COIN; balanceanalytics_group=COINBASE; adastat_group=None
733b28bfd9c9e49cb98504968b3c11cff61cd3e2acd4dce1517c5fa5,pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
779b6f0e6fc27e212475481920f43378ec2a5a1bc8cd45a1c1da90b9,pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
